first_air_date,name,overview,popularity,vote_average,vote_count,adult
2014-05-11,Penny Dreadful,"Some of literature's most terrifying characters, including Dr. Frankenstein, Dorian Gray, and iconic figures from the novel Dracula are lurking in the darkest corners of Victorian London. Penny Dreadful is a frightening psychological thriller that weaves together these classic horror origin stories into a new adult drama.",11.7244,7.8,1487,False
2014-09-22,Forever,"Doctor Henry Morgan, New York City’s star medical examiner, has a secret. He doesn't just study the dead to solve criminal cases, he does it to solve the mystery that has eluded him for 200 years—the answer to his own inexplicable immortality. This long life has given Henry remarkable observation skills which impresses his new partner, Detective Jo Martinez. Each week, a new case and their budding friendship will reveal layers of Henry’s long and colorful past. Only his best friend and confidant, Abe knows Henry’s secret.",10.2959,7.812,634,False
2011-12-02,Austin & Ally,"A comedy about the unique relationship between a young songwriter, Ally Dawson, and Austin Moon, the overnight internet sensation who gains sudden notoriety after performing one of Ally's songs. Austin and Ally struggle with how to maintain and capitalize on Austin's newfound fame. Austin is more of a rebel type who doesn't follow the rules and is somewhat immature for his age, while Ally is conservative yet self-conscious.",11.8999,7.8,215,False
2008-04-07,Soul Eater,"Set in the Shinigami technical school for weapon meisters, the series revolves around 3 groups of each a weapon meister and a human weapon. Trying to make the latter a ""Death Scythe"" which is the highest title for a weapon and thus fit for use by the Shinigami, they must collect the souls of 99 evil humans and 1 witch. Maka & Soul Eater, Black Star & Tsubaki, and Death the Kid with Patty and Liz Thompson are the characters Soul Eater revolves around. Besides taking the time to gather souls, these students of Shibusen defend Death City from some of the most powerful of creatures while still attending school and trying to become stronger.",17.4218,7.811,339,False
2019-06-24,BIA,"BIA tells the story of a group of teens who discover, share and develop their talents in the ""Fundom"", a place where they gather to hang out, create and express their art in a fun-filled and casual environment. Bia Urquiza, the main character, is a 16-year-old girl with great imagination and creativity.",2.4962,7.8,339,False
2006-07-07,H2O: Just Add Water,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,13.0624,7.8,695,False
2018-01-11,Death March to the Parallel World Rhapsody,"29-year-old programmer Suzuki Ichirou finds himself transported into a fantasy RPG. Within the game, he's a 15-year-old named Satou. At first he thinks he's dreaming, but his experiences seem very real. Due to a powerful ability he possesses with limited use, he ends up wiping out an army of lizard men and becomes a high leveled adventurer. Satou decides to hide his level, and plans to live peacefully and meet new people. However, developments in the game's story, such as the return of a demon king, may cause a nuisance to Satou's plans.",7.179,7.8,269,False
1988-09-06,Count Duckula,"Count Duckula is a vegetarian vampire duck, coming into the world as an accident. Unlike his family and ancestors, he has no bloodlust, as when he was reincarnated, blood was omitted and replaced with ketchup.",5.1379,7.8,239,False
1977-03-27,Jesus of Nazareth,"Dramatizes the Birth, Life, Ministry, Crucifixion, and Resurrection of Jesus Christ, largely according to the Holy Bible's New Testament Gospels.",7.5197,7.805,551,False
2013-03-30,Orphan Black,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,17.2458,7.802,1407,False
2005-01-16,Aída,"Aída is a Spanish comedy sitcom set in Madrid, that spin off from another sitcom called 7 Vidas. The show first aired on January 16, 2005 and is produced by Globomedia for the Spanish network Telecinco. It currently started its ninth season.

The show stars Carmen Machi as the title character, Aída García, a working, single mother with two teenage children, forced to move in with her mother and brother to make ends meet.

The show has received favorable criticism from the audience and has been the most viewed show in Spain since 2007. It has also received several awards like the Ondas Award for Best Spanish Sitcom.

The Polish re-make of the series began airing in March 2012 on TVP2 channel.",6.7797,7.804,255,False
2023-09-28,Castlevania: Nocturne,"As revolution sweeps France, Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire ruler.",6.1506,7.8,262,False
2015-10-04,Attack on Titan: Junior High,"Your favorite characters from Attack on Titan are back in…junior high school? Adapted from the hit spinoff manga series—Attack on Titan: Junior High (written by Saki Nakagawa), this parody reimagines Eren, Mikasa, Armin, and other characters from the original manga as students and teachers at Titan Junior High School.",7.6033,7.8,212,False
2007-04-01,The Tudors,"The Tudors is a history-based drama series following the young, vibrant King Henry VIII, a competitive and lustful monarch who navigates the intrigues of the English court and the human heart with equal vigor and justifiable suspicion.",27.911,7.802,815,False
2021-01-27,Resident Alien,"Crash-landed alien Harry takes on the identity of a small-town Colorado doctor. Arriving with a secret mission, he starts off living a simple life…but things get a bit rocky when he’s roped into solving a local murder and realizes he needs to assimilate into his new world. As he does, he begins to wrestle with the moral dilemma of his mission and asking the big life questions like: “Are human beings worth saving?” and “Why do they fold their pizza before eating it?”",18.9072,7.802,949,False
1996-09-27,"Sabrina, the Teenage Witch","On her sixteenth birthday, Sabrina Spellman discovers she has magical powers. She lives with her 600-year-old aunts Hilda and Zelda as well as talking cat Salem in the fictional town of Westbridge, Massachusetts.",25.7448,7.801,1209,False
2018-07-06,Sacred Games,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",5.1714,7.8,241,False
2018-02-19,Hijas de la luna... y la familia cambió,,1.1638,7.799,234,False
2021-11-24,Hawkeye,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit.",16.913,7.796,3674,False
2020-04-23,Gangs of London,"When the head of a criminal organisation, Finn Wallace is assassinated, the sudden power vacuum his death creates threatens the fragile peace between the intricate web of gangs operating on the streets of the city. Now it’s up to the grieving, volatile and impulsive Sean Wallace to restore control and find those responsible for killing his father.",14.1288,7.797,655,False
2005-07-21,Extras,"Andy Millman gave up his day job five years ago in the hope of achieving the big time, but he’s yet to land a speaking part, let alone saunter down the red carpet to pick up an Oscar. He remains optimistic however, as rubbing shoulders with the A-list on-set only serves to reinforce his belief that the big time is just a job or two away.",8.2821,7.796,412,False
2020-11-12,Alex Rider,"Alex Rider is an ordinary teenager enlisted to work on behalf of MI6, where he uses skills he didn't know he had to become an extraordinary spy.",8.1487,7.8,359,False
2018-10-29,Amar a Muerte,,2.5976,7.8,512,False
2015-03-17,iZombie,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.",16.0562,7.793,2913,False
2003-11-07,Star Wars: Clone Wars,"During the Clone Wars, Jedi Master Obi-Wan Kenobi leads an assault on the planet Muunilinst, home of the Intergalactic Banking Clan; and his Padawan, Anakin Skywalker, is appointed by Supreme Chancellor Palpatine to lead the Republic’s space forces. Meanwhile, Separatist leader and Sith Lord Count Dooku takes in Force-sensitive gladiator Asajj Ventress as his Sith apprentice, and tasks her with eliminating Skywalker.",7.6532,7.79,485,False
2014-07-11,Terror in Resonance,"In an alternate version of the present, Tokyo has been decimated by a shocking terrorist attack, and the only hint to the identity of the culprit is a bizarre video uploaded to the internet. The police, baffled by this cryptic clue, are powerless to stop the paranoia spreading across the population. While the world searches for a criminal mastermind to blame for this tragedy, two mysterious children - children who shouldn't even exist - masterfully carry out their heinous plan. Cursed to walk through this world with the names Nine and Twelve, the two combine to form ""Sphinx,"" a clandestine entity determine to wake the people from their slumber - and pull the trigger on this world.",8.0105,7.792,454,False
2007-07-16,Nuevo Rico Nuevo Pobre,"Nuevo Rico Nuevo Pobre is a Colombian telenovela produced and broadcast by Caracol TV starring Martín Karpan, John Alex Toro, Maria Cecilia Botero, Carolina Acevedo, Hugo Gómez, former Miss Colombia Andrea Noceti and Andrés Toro.

The show started on July 16, 2007 on Caracol TV and it is also broadcast on Ecuador's Teleamazonas in primetime. Caracol TV has sold the rights of the show to Telemundo and Fox. It is, as of May 2008, one of the highest rated TV shows in Colombia.",2.8066,7.8,371,False
1984-09-07,'Allo 'Allo!,The misadventures of hapless cafe owner René Artois and his escapades with the Resistance in occupied France.,11.5738,7.79,260,False
2023-09-13,El señor de los cielos: Sus comienzos,,3.1883,7.8,242,False
2023-04-27,Love & Death,Candy and Pat Montgomery and Betty and Allan Gore — two churchgoing couples — enjoy their small town Texas life... until an extramarital affair leads somebody to pick up an axe.,8.0258,7.789,455,False
2010-03-14,The Pacific,"Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.",14.2677,7.787,2502,False
2020-05-08,Solar Opposites,"A family of aliens from a much better world must take refuge in middle America after the destruction of their planet. Their mission: protect the Pupa, a living super computer that will one day evolve into its true form, consume them and terraform the Earth.",15.5099,7.786,598,False
2012-02-20,Por ella soy Eva,"Por Ella Soy Eva is a Mexican soap opera produced by Rosy Ocampo for Televisa based on the Colombian soap opera En los tacones de Eva. Jaime Camil and Lucero starred as main protagonists, while Mariana Seoane and Marcelo Córdoba starred as the main antagonists.

""The Best Telenovela of the Year 2013.""",2.2647,7.786,299,False
1991-04-26,Dinosaurs,"Dinosaurs follows the life of a family of dinosaurs, living in a modern world. They have TV's, fridges, microwaves, and every modern convenience.",20.7945,7.786,1076,False
2019-09-26,Evil,"Skeptical forensic psychologist Kristen Bouchard joins priest-in-training David Acosta and technology expert Ben Shakir as they investigate supposed miracles, demonic possessions, and other extraordinary occurrences to assess for a scientific explanation or if something truly supernatural is at work.",30.1044,7.785,993,False
2020-04-30,Upload,"In 2033, people who are near death can be “uploaded” into virtual reality hotels run by 6 tech firms. Cash-strapped Nora lives in Brooklyn and works customer service for the luxurious “Lakeview” digital afterlife. When L.A. party-boy/coder Nathan’s self-driving car crashes, his high-maintenance girlfriend uploads him permanently into Nora’s VR world.",13.0928,7.785,1406,False
2015-01-13,Schitt's Creek,"Formerly filthy rich video store magnate Johnny Rose, his soap star wife Moira, and their two kids, über-hipster son David and socialite daughter Alexis, suddenly find themselves broke and forced to live in Schitt's Creek, a small depressing town they once bought as a joke.",19.2905,7.785,667,False
2010-06-29,Louie,Louis C.K. stars as a fictionalized version of himself; a comedian and newly divorced father raising his two daughters in New York City.,8.5173,7.784,566,False
2024-04-17,Under the Bridge,"Fourteen-year old Reena Virk went to join friends at a party and never returned home. Through the eyes of Rebecca Godfrey and a local police officer, learn the hidden world of the young girls accused of the murder — revealing startling truths about the unlikely killer.",6.4783,7.775,216,False
2012-04-06,Sankarea: Undying Love,"Zombie-obsessed Furuya is making a potion to reanimate his dead cat when he meets Rea. She’s about as miserable as a girl can get, thanks to her creepy, domineering father. When the pain becomes too much, she tries to commit suicide with a sip of Furuya’s weird elixir. The potion doesn’t kill her – but it does turn her into a zombie after she falls from a cliff.

Now that Rea’s undead and ready to finally live, she hides out with Furuya, who’s always dreamed of having a zombie girlfriend. Their one-of-a-kind relationship comes with some challenges, like the fact that Rea is decomposing. Even worse, her freak-show dad is dangerously determined to get her back under his control. As Furuya fights to keep his ghoulfriend safe, Rea finds the secret to resurrecting her happiness: Live like you’re dying – even if you’re already dead.",5.841,7.784,250,False
1989-08-20,Saved by the Bell,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",11.3683,7.784,698,False
1995-01-16,Star Trek: Voyager,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",46.0668,7.8,1080,False
2022-10-07,Conversations with a Killer: The Jeffrey Dahmer Tapes,"Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",2.1485,7.8,275,False
2010-09-24,Blue Bloods,"A drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief.",65.967,7.781,988,False
2001-11-06,24,"Counterterrorism agent Jack Bauer fights the bad guys of the world, a day at a time. With each week's episode unfolding in real-time, ""24"" covers a single day in the life of Bauer each season.",79.1223,7.781,1751,False
2016-07-05,A Terra Prometida,,10.731,7.8,455,False
2017-04-28,Cable Girls,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they deal with romance, envy and the modern workplace.",8.1959,7.779,491,False
2008-09-26,The Suite Life on Deck,"Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner owned by London's father. The ship cruises the world with tourists and students who attend classes at Seven Seas High, the one high school that London's dad thinks will make his daughter a better student. While out at sea, Zack and Cody still have their compass pointed towards mischief, and London learns to live a ""fabu-less"" lifestyle, including sharing a small room with Bailey, a country girl from Kansas.",10.6692,7.8,520,False
2004-08-07,The Venture Bros.,"Hank and Dean Venture, with their father Doctor Venture and faithful bodyguard Brock Samson, go on wild adventures facing megalomaniacs, zombies, and suspicious ninjas, all for the glory of adventure. Or something like that.",11.7791,7.776,232,False
1990-09-14,Tiny Toon Adventures,Follow the adventures of a group of young cartoon characters who attend the Acme Looniversity to become the next generation of characters from the Looney Tunes series.,9.8131,7.776,521,False
2021-04-23,Shadow and Bone,"In a world cleaved in two by a massive barrier of perpetual darkness, a young soldier uncovers a power that might finally unite her country. But as she struggles to hone her power, dangerous forces plot against her. Thugs, thieves, assassins and saints are at war now, and it will take more than magic to survive.",9.9211,7.775,1536,False
2014-04-06,The Irregular at Magic High School,In a world where magic is not a fairy tale but has existed for one hundred years siblings Tatsuya and Miyuki Shiba prepare to begin their studies at the elite Private Magic University Affiliated High School (Magic High School for short). Entering on different levels of the academic spectrum the two turn the once peaceful campus into a chaotic one.,25.6619,7.769,308,False
2021-09-08,"Doogie Kamealoha, M.D.","Lahela 'Doogie' Kamealoha, a 16-year-old prodigy juggles a budding medical career and life as a teenager. With the support of her caring and comical 'ohana (family) and friends, Lahela is determined to make the most of her teenage years and forge her own path.",9.5077,7.774,208,False
2020-01-31,Ragnarok,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time.,7.7635,7.774,1118,False
2018-09-10,"Like, la Leyenda","The experiences of a group of young people interned at the Life Institute of Knowledge and Evolution (LIKE), a prestigious and cosmopolitan educational institution, with a supposedly modern and open educational system, but in reality it is deeply traditional and schematic.",3.015,7.8,499,False
2021-07-15,American Horror Stories,"An anthology series of stand alone episodes delving into horror myths, legends and lore.",13.5912,7.773,946,False
2019-04-22,Gentleman Jack,"Halifax, West Yorkshire, England, 1832. Anne Lister attempts to revitalize her inherited home, Shibden Hall. Most notably for the time period, a part of her plan is to help the fate of her own family - by taking a wife.",7.0498,7.8,203,False
2013-10-09,The Heirs,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich.",10.8541,7.772,655,False
1994-10-29,Aaahh!!! Real Monsters,"Three young monsters — Ickis, Oblina and Krumm — attends an institute for monsters under a city dump and learn to frighten humans.",10.0283,7.772,419,False
1999-12-24,Happy Tree Friends,"This action and adventure comedy is drawn in simple appearance and combines cute forest animals with extreme graphic violence. Each episode revolves around the characters enduring accidental events of bloodshed, pain, dismemberment and/or death.",9.5848,7.772,638,False
2020-05-27,Looney Tunes Cartoons,"A series of short form cartoons starring the iconic and beloved Looney Tunes characters. Bugs Bunny, Daffy Duck, Porky Pig and other marquee Looney Tunes characters are featured in their classic pairings in simple, gag-driven and visually vibrant stories.",13.8677,7.771,279,False
2013-02-25,Wild at Heart,"Corazón indomable is a Mexican telenovela produced by Nathalie Lartilleux for Televisa. It is a remake of Marimar, produced in 1994, and starring Thalía and Eduardo Capetillo.

Ana Brenda Contreras and Daniel Arenas star as the protagonists, while Ingrid Martz, Elizabeth Álvarez, Carlos de la Mota and René Strickler star as the antagonists.",5.5496,7.771,493,False
2018-08-26,Bodyguard,A troubled war veteran is assigned to protect a controversial politician who may be the target of a terror plot.,8.7645,7.77,1103,False
1955-10-02,Alfred Hitchcock Presents,"A television anthology series hosted by Alfred Hitchcock featuring dramas, thrillers, and mysteries.",9.004,7.77,244,False
2021-02-03,Firefly Lane,"For decades, childhood best friends Kate and Tully have weathered life's storms together -- until a betrayal threatens to break them apart for good.",7.3429,7.769,305,False
2015-09-30,Code Black,"Inspired by the award-winning documentary, this medical drama is set in the busiest and most notorious ER in the nation where the extraordinary staff confront a challenged system in order to protect their ideals and the patients who need them the most.",11.1174,7.8,275,False
2021-06-04,Sweet Tooth,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",12.4208,7.8,1581,False
2003-09-28,Cold Case,The Philadelphia homicide squad's lone female detective finds her calling when she is assigned cases that have never been solved. Detective Lilly Rush combines her natural instincts with the updated technology available today to bring about justice for all the victims she can.,44.2927,7.768,429,False
2025-01-29,Your Friendly Neighborhood Spider-Man,"Peter Parker is on his way to becoming a hero, but his path to get there is anything but ordinary.",8.1145,7.767,255,False
2021-07-15,The Walking Dead: Origins,"The Walking Dead: Origins is a series of specials exploring the journeys of the series' most celebrated characters. Each episode charts the story of the zombie apocalypse from the point of view of a single character and features new interviews and narrations from the actors that portray these iconic characters, interwoven with clips from the most pivotal moments of their journeys so far.",3.9475,7.8,486,False
2019-07-03,How Heavy Are the Dumbbells You Lift?,"Hibiki Sakura’s love for food is starting to affect her size, but training at her local gym is pretty intimidating! After meeting her handsome personal trainer, Machio, Hibiki bites the bullet and starts her quest for a hot bod!",3.4012,7.765,268,False
2010-09-01,Mischievous Kiss,"A clumsy high-school girl - Oh Ha-ni - is at the bottom of her class, and she has had a crush on a popular genius, Baek Seung-Jo, ever since she first laid eyes on him.",4.1139,7.8,422,False
2003-09-23,One Tree Hill,"In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-collar Lucas is a talented street-side basketball player, but his skills are appreciated only by his friends at the river court. Popular, affluent Nathan basks in the hero-worship of the town, as the star of his high school team. And both boys are the son of former college ball player Dan Scott whose long ago choice to abandon Lucas and his mother Karen, will haunt him long into his life with wife Deb and their son Nathan.",45.784,7.763,574,False
2023-03-09,School Spirits,"Maddie, a teen stuck in the afterlife investigating her own mysterious disappearance, goes on a crime-solving journey as she adjusts to high school purgatory, but the closer she gets to discovering the truth, the more secrets and lies she uncovers.",13.9472,7.8,251,False
2014-10-07,The Flash,"After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.  Teaming up with S.T.A.R. Labs, Barry takes on the persona of The Flash, the Fastest  Man Alive, to protect his city.",90.4956,7.76,11556,False
2021-10-06,CSI: Vegas,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.",13.6421,7.759,309,False
2017-10-13,Babylon Berlin,"Beneath the decadence of 1929 Berlin, lies an underworld city of sin. Police investigator Gereon Rath has been transferred from Cologne to the epicenter of political and social changes in the Golden Twenties.",13.7186,7.759,388,False
1987-12-14,Teenage Mutant Ninja Turtles,"Four turtles fall into the sewers and are befriended by Hamato Yoshi a Japanese man sent to New York who was forced to live in the sewers. One day he sees a strange green glow which transforms the four turtles into human-like creatures. Hamato (now Master Splinter) changes into a giant rat from the green glow and teaches the turtles the skills of the ninja as they team up with news reporter April O'Neil to battle against Yoshi's arch enemy Shredder and Krang, an alien warlord from Dimension X.",20.6405,7.759,822,False
2024-05-07,Dark Matter,"Jason Dessen is abducted into an alternate version of his life. To get back to his true family, he embarks on a harrowing journey to save them from the most terrifying foe imaginable: himself.",9.679,7.8,631,False
2024-02-22,Avatar the Last Airbender,A young boy known as the Avatar must master the four elemental powers to save a world at war — and fight a ruthless enemy bent on stopping him.,22.8539,7.76,1069,False
2017-02-08,Surviving Escobar - Alias JJ,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.",4.5937,7.76,1169,False
2009-02-08,Sonny with a Chance,"Allison ""Sonny"" Munroe makes the leap from the Midwest to Los Angeles to join the cast of ""So Random!,"" the most popular sketch comedy TV show for kids and tweens. Her fellow young actors are resident teen queen Tawni, super suave Nico, gregarious funnyman Grady and quirky Zora. Now Sonny must somehow balance these new friendships while adjusting to her family's decidedly different way of life in Hollywood. Meanwhile, Sonny must also contend with heartthrob Chad Dylan Cooper, star of the rival show ""MacKenzie Falls,"" who makes it known that he thinks his dramatic work is better than her comedy career.",7.0811,7.8,341,False
2008-08-04,Doña Bárbara,"Doña Bárbara is a Spanish-language telenovela produced by the United States-based television network Telemundo, Sony Pictures Television International and RTI Colombia. Edith González and Christian Meier star in this adaptation of the 1929 novel by Venezuelan author Rómulo Gallegos.",3.0778,7.758,732,False
2020-02-14,ZeroZeroZero,"Based on the book of the same name by bestselling author Roberto Saviano, ZeroZeroZero is an unforgettable exploration of the inner workings of the global cocaine trade.",5.5165,7.756,507,False
2019-01-15,"Roswell, New Mexico","After reluctantly returning to her tourist-trap hometown of Roswell, New Mexico, the daughter of undocumented immigrants discovers a shocking truth about her teenage crush who is now a police officer—he’s an alien who has kept his unearthly abilities hidden his entire life. She protects his secret as the two reconnect and begin to investigate his origins, but when a violent attack and long-standing government cover-up point to a greater alien presence on Earth, the politics of fear and hatred threaten to expose him and destroy their deepening romance.",8.8864,7.756,443,False
2018-08-10,Insatiable,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",8.3553,7.756,1692,False
2019-03-20,Pretty Little Liars: The Perfectionists,"In Beacon Heights, a seemingly perfect town, a group of three college friends struggle with the stress of being overachievers. In the aftermath of the town’s first murder, each Perfectionist hides behind a secret, a lie and an alibi.",3.9355,7.756,505,False
2024-01-25,Masters of the Air,"During World War II, airmen risk their lives with the 100th Bomb Group, a brotherhood forged by courage, loss, and triumph.",13.0135,7.756,561,False
2017-09-24,Fall Into Temptation,"Raquel and Damián are happily married with two children. Destiny leads Damián to meet Carolina and feels an undeniable attraction towards her. Damián did not know that Carolina was already married to Santiago Álvarado, a construction architect with whom she has two children. When Raquel drops off her son Fede at school, she accidentally backs her car to Santiago's truck, and they realize that their sons know each other. Raquel volunteers to pay for the damages but Santiago refuses. Raquel insists and goes to the Álvarado home with Damián. The two couples become great friends. But the desire between Damián and Carolina is stronger than their marriage commitment and both decide to deceive to their spouses. Damián and Carolina have a terrible car accident. Rescuers only find a seriously injured Damián, and Carolina has mysteriously disappeared from the scene. During the investigation by the police, Raquel and Santiago learn that their spouses are lovers.",2.4279,7.8,253,False
2018-07-08,Sharp Objects,Reporter Camille Preaker confronts the psychological demons from her past when she returns to her hometown to investigate the murders of two young girls.,11.2391,7.755,1048,False
2016-02-15,11.22.63,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",8.7977,7.8,1708,False
2010-09-23,An Idiot Abroad,"An Idiot Abroad is a British travel documentary television series broadcast on Sky1 and Science, as well as spin-off books published by Canongate Books, created by Ricky Gervais and Stephen Merchant and starring Karl Pilkington. The ongoing theme of both the television series and the books is that Pilkington has no interest in global travel, so Merchant and Gervais make him travel while they stay in the United Kingdom and monitor his progress.",2.793,7.754,250,False
2019-03-15,Hercai,Miran is seeking revenge for his parents death so he plans to marry daughter Reyyan from the family who were responsible for that. Unexpectedly he falls in love with Reyyan. Will this change the plan?,10.168,7.8,726,False
2023-04-06,BEEF,A road rage incident between two strangers — a failing contractor and an unfulfilled entrepreneur — sparks a feud that brings out their darkest impulses.,68.4786,7.8,893,False
2023-07-27,Twisted Metal,"A motor-mouthed outsider with no memory of his past is offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland. With the help of a badass axe-wielding car thief, he’ll face savage marauders driving vehicles of destruction and other dangers of the open road, including a deranged clown who drives an all too familiar ice cream truck.",12.3059,7.752,510,False
2018-08-10,The House of Flowers,A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.,9.7484,7.752,907,False
1985-09-27,The Twilight Zone,"This 1980s revival of the classic sci-fi series features a similar style to the original anthology series. Each episode tells a tale (sometimes two or three) rooted in horror or suspense, often with a surprising twist at the end. Episodes usually feature elements of drama and comedy.",21.5303,7.8,244,False
2014-10-24,Constantine,A man struggling with his faith is haunted by the sins of his past but is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,7.6121,7.8,1608,False
2020-10-27,Blood of Zeus,"In a brewing war between the gods of Olympus and the titans, Heron, a commoner living on the outskirts of ancient Greece, becomes mankind's best hope of surviving an evil demon army, when he discovers the secrets of his past.",9.0929,7.749,605,False
2020-09-14,We Are Who We Are,"Two American kids who live on a U.S. military base in Italy explore friendship, first love, identity, and all the messy exhilaration and anguish of being a teenager.",5.0592,7.749,375,False
2018-01-05,Devilman Crybaby,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.",11.4429,7.748,712,False
2017-04-16,The White Princess,"The story of Elizabeth of York, the White Queen's daughter, and her marriage to the Lancaster victor, Henry VII. Based on the Philippa Gregory book of the same name.",4.2379,7.7,296,False
2012-08-07,DreamWorks Dragons,"From the creators of ""How to Train Your Dragon"" comes a new series that takes Hiccup and Toothless to the edge of adventure.",11.0334,7.747,748,False
2024-12-05,Creature Commandos,"Follow the exploits of the Creature Commandos, a secret team of incarcerated monsters recruited for missions deemed too dangerous for humans. When all else fails... they're your last, worst option.",8.879,7.746,309,False
2002-07-15,¡Vivan los niños!,"¡Vivan los niños! is a Mexican telenovela for children that premiered in 2002. It ran for 155 episodes and finished in 2003. The opening, Vivan los niños, was recorded by the Latin pop group OV7. One of its closing themes, also entitled Vivan los niños, was performed by Cuban-American singer and songwriter Ana Cristina. The show is a version of the Argentinian telenovela ""Jacinta Pichimahuida, la maestra que no se olvida"".

The series starred Andrea Legarreta as 2nd grade teacher Lupita Gómez. After the series ended, Andrea became the long-time host of the morning talk show Hoy. On July 12, 2012, in celebration of Andrea's birthday, the producers of Hoy reunited her with the young actors who played her students on the series.",1.7629,7.746,209,False
2006-12-11,The Lost Room,"A detective investigates a mysterious motel room, which acts as a portal to an alternate universe.",6.6011,7.745,494,False
2004-07-05,Girls Bravo,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.",7.7322,7.7,283,False
2003-06-09,Amor Real,"True love threatens to tear a family apart in this epic Mexican serial set in the 1800s. Rich and beautiful Matilde falls in love with Adolfo, but her mother, Augusta, disapproves of the relationship when she learns Adolfo is poor. Augusta forces her daughter to marry rich and handsome Manuel Fuentes Guerra, but Matilde plays with fire by continuing to be with Adolfo. Adela Noriega, Fernando Colunga, Helena Rojo and Chantal Andere star.",3.6122,7.7,1127,False
2020-02-07,Locke & Key,"After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets.",10.2703,7.743,1431,False
2021-03-25,DOTA: Dragon's Blood,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",9.2987,7.742,458,False
2019-10-09,Nancy Drew,"Nancy Drew makes plans to leave her hometown for college, but finds herself drawn into a supernatural murder mystery instead.",9.9213,7.7,300,False
2016-01-17,Billions,"Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",36.8486,7.7,1010,False
